Student name,ID,Chem,Bio,Phy,Math
Bett James,GR-0483,17,58,29,34
Namukolo Abrams,GR-0484,95,57,43,48
Vera Abutu,GR-0485,96,71,83,93
Kwame Doga,GR-0486,75,52,94,66
Lukeman Ahmad,GR-0487,38,47,38,34
Akin Torey,GR-0488,26,88,37,14
Luke Brant,GR-0489,91,51,93,22
James Kenyata,GR-0490,39,13,90,25
Ngugi Tionga,GR-0491,14,42,70,36
Okoro Eze,GR-0492,31,58,54,71
Agatha Chiluba,GR-0493,67,64,86,55
Mangu Joseph,GR-0494,82,87,63,13
Longe Jethro,GR-0495,48,92,65,50
Florence Giwa,GR-0496,30,36,24,18
Vetiva Lucent,GR-0497,48,48,84,73
Melody Braimoh,GR-0498,68,38,43,36
Victor Ihab,GR-0499,83,51,50,63
Mimi Trucker,GR-0500,80,41,73,44
Maguel Peter,GR-0501,63,28,80,95
Wellington Zuba,GR-0502,92,19,88,94
